itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLF3,Lincolnshire,2021,215000.0,239950.0,210000.0,273875.0,177000.0,147000.0,108250.0,17482
TLG1,"Herefordshire, Worcestershire and Warwickshire",2021,279950.0,332000.0,269000.0,390000.0,250000.0,206100.0,150000.0,28355
TLG2,Shropshire and Staffordshire,2021,216297.5,265995.0,205000.0,320000.0,190000.0,155000.0,107500.0,31624
TLG3,West Midlands,2021,208500.0,245000.0,203000.0,360000.0,216000.0,177889.0,140000.0,37804
TLH2,Bedfordshire and Hertfordshire,2021,380000.0,400000.0,375000.0,595000.0,400000.0,345000.0,240000.0,35903
TLH3,Essex,2021,340000.0,385000.0,337000.0,480000.0,350000.0,300000.0,205000.0,38924
TLH4,Cambridgeshire and Peterborough,2021,300000.0,360950.0,290000.0,392250.0,267125.0,245000.0,190000.0,17238
TLH5,Norfolk,2021,260000.0,295000.0,255000.0,340000.0,235000.0,200000.0,144000.0,20406
TLH6,Suffolk,2021,277000.0,315000.0,270000.0,382500.0,255000.0,215000.0,150000.0,16161
TLI3,Inner London - West,2021,773250.0,952500.0,750000.0,2910000.0,1725000.0,1270000.0,658347.5,16562
TLI4,Inner London - East,2021,535000.0,620000.0,510000.0,1302500.0,892250.0,715000.0,489000.0,28460
TLI5,Outer London - East and North East,2021,426000.0,406497.5,430000.0,682750.0,495000.0,445000.0,320000.0,25115
TLI6,Outer London - South,2021,462650.0,450000.0,463500.0,820000.0,576000.0,465000.0,325000.0,21608
TLI7,Outer London - West and North West,2021,525000.0,447975.0,535000.0,975000.0,633333.0,600000.0,395000.0,24034
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2021,389995.0,410000.0,382500.0,580000.0,385000.0,325000.0,235000.0,49024
TLJ2,"Surrey, East and West Sussex",2021,400000.0,414995.0,400000.0,625000.0,420000.0,355000.0,250000.0,63296
TLJ3,Hampshire and Isle of Wight,2021,316611.0,378000.0,310000.0,500000.0,325000.0,265000.0,180000.0,40367
TLJ4,Kent,2021,328000.0,379950.0,320000.0,500000.0,340000.0,280000.0,200000.0,39493
TLK3,Cornwall and Isles of Scilly,2021,275000.0,275000.0,274000.0,374750.0,248000.0,213750.0,187500.0,12659
TLK4,Devon,2021,265975.0,294995.0,260000.0,395000.0,260000.0,219000.0,160875.0,26920
TLK5,West of England,2021,320000.0,347250.0,315000.0,470000.0,320000.0,312000.0,235000.0,17971
TLK6,"North Somerset, Somerset and Dorset",2021,299500.0,309995.0,295000.0,425000.0,280000.0,238000.0,190000.0,36021
TLK7,Gloucestershire and Wiltshire,2021,285000.0,323000.0,280000.0,419997.5,270000.0,229995.0,155000.0,29752
TLL3,North Wales,2021,189950.0,264995.0,183000.0,270000.0,170000.0,134000.0,120000.0,12669
TLL4,Mid and South West Wales,2021,180000.0,219995.0,178000.0,275000.0,160000.0,130000.0,120000.0,15499
TLL5,South East Wales,2021,195000.0,278172.5,185000.0,325000.0,200000.0,145000.0,139000.0,26154
TLC3,Tees Valley,2022,158000.0,252995.0,146000.0,275000.0,155000.0,98000.0,85000.0,11073
TLC4,"Northumberland, Durham and Tyne & Wear",2022,164950.0,235000.0,150000.0,294995.0,165000.0,125000.0,105000.0,31500
TLD1,Cumbria,2022,195000.0,269950.0,185000.0,330000.0,190000.0,125750.0,137000.0,9289
