itl2_code,itl2_name,year,gdhi_per_head_gbp
TLK3,Cornwall and Isles of Scilly,2010,14776
TLK4,Devon,2010,15412
TLK5,West of England,2010,16104
TLK6,"North Somerset, Somerset and Dorset",2010,16669
TLK7,Gloucestershire and Wiltshire,2010,16829
TLL3,North Wales,2010,13981
TLL4,Mid and South West Wales,2010,13776
TLL5,South East Wales,2010,13487
TLM0,Eastern Scotland,2010,14852
TLM1,East Central Scotland,2010,16696
TLM2,Highlands and Islands,2010,15425
TLM3,West Central Scotland,2010,14455
TLM5,North Eastern Scotland,2010,18363
TLM9,Southern Scotland,2010,14834
TLN0,Northern Ireland,2010,13318
TLC3,Tees Valley,2011,13424
TLC4,"Northumberland, Durham and Tyne & Wear",2011,13719
TLD1,Cumbria,2011,15624
TLD3,Greater Manchester,2011,13907
TLD4,Lancashire,2011,14214
TLD6,Cheshire,2011,17031
TLD7,Merseyside,2011,13994
