itl2_code,itl2_name,year,affordability_ratio_workplace
TLJ2,"Surrey, East and West Sussex",2005,8.989166666666666
TLJ3,Hampshire and Isle of Wight,2005,8.063571428571429
TLJ4,Kent,2005,7.807692307692308
TLK3,Cornwall and Isles of Scilly,2005,9.77
TLK4,Devon,2005,9.409
TLK5,West of England,2005,7.260000000000001
TLK6,"North Somerset, Somerset and Dorset",2005,8.530000000000001
TLK7,Gloucestershire and Wiltshire,2005,7.813750000000001
TLL3,North Wales,2005,6.266666666666667
TLL4,Mid and South West Wales,2005,6.7683333333333335
TLL5,South East Wales,2005,5.417
TLC3,Tees Valley,2006,5.112
TLC4,"Northumberland, Durham and Tyne & Wear",2006,5.842857142857143
TLD1,Cumbria,2006,6.01
TLD3,Greater Manchester,2006,5.7379999999999995
TLD4,Lancashire,2006,5.7700000000000005
TLD6,Cheshire,2006,6.743333333333333
TLD7,Merseyside,2006,5.691666666666666
TLE1,East Yorkshire and Northern Lincolnshire,2006,4.8374999999999995
TLE2,North Yorkshire,2006,7.87
TLE3,South Yorkshire,2006,5.422499999999999
TLE4,West Yorkshire,2006,5.67
TLF1,Derbyshire and Nottinghamshire,2006,6.025294117647059
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,6.9772727272727275
TLF3,Lincolnshire,2006,6.9799999999999995
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,7.846666666666668
TLG2,Shropshire and Staffordshire,2006,6.54909090909091
TLG3,West Midlands,2006,5.910000000000001
TLH2,Bedfordshire and Hertfordshire,2006,7.9438461538461524
TLH3,Essex,2006,8.233571428571429
TLH4,Cambridgeshire and Peterborough,2006,7.31
TLH5,Norfolk,2006,7.395714285714285
TLH6,Suffolk,2006,7.4
TLI3,Inner London - West,2006,11.813333333333333
TLI4,Inner London - East,2006,7.757499999999999
TLI5,Outer London - East and North East,2006,7.799999999999999
TLI6,Outer London - South,2006,8.895999999999999
TLI7,Outer London - West and North West,2006,9.518571428571429
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,8.022307692307692
TLJ2,"Surrey, East and West Sussex",2006,9.162083333333333
TLJ3,Hampshire and Isle of Wight,2006,8.007142857142856
TLJ4,Kent,2006,8.094615384615384
TLK3,Cornwall and Isles of Scilly,2006,9.56
TLK4,Devon,2006,9.532
TLK5,West of England,2006,7.226666666666667
TLK6,"North Somerset, Somerset and Dorset",2006,8.545
TLK7,Gloucestershire and Wiltshire,2006,8.05125
TLL3,North Wales,2006,6.576666666666667
TLL4,Mid and South West Wales,2006,7.031666666666666
TLL5,South East Wales,2006,5.797
TLC3,Tees Valley,2007,5.314
TLC4,"Northumberland, Durham and Tyne & Wear",2007,6.032857142857142
TLD1,Cumbria,2007,6.22
TLD3,Greater Manchester,2007,5.9479999999999995
TLD4,Lancashire,2007,5.966428571428572
TLD6,Cheshire,2007,6.543333333333333
TLD7,Merseyside,2007,5.815
TLE1,East Yorkshire and Northern Lincolnshire,2007,5.147500000000001
TLE2,North Yorkshire,2007,7.745000000000001
TLE3,South Yorkshire,2007,5.51
TLE4,West Yorkshire,2007,5.87
TLF1,Derbyshire and Nottinghamshire,2007,6.191764705882353
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,7.166363636363636
TLF3,Lincolnshire,2007,7.367142857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,8.200000000000001
TLG2,Shropshire and Staffordshire,2007,6.8554545454545455
TLG3,West Midlands,2007,6.022857142857143
TLH2,Bedfordshire and Hertfordshire,2007,8.422307692307694
TLH3,Essex,2007,8.527142857142858
TLH4,Cambridgeshire and Peterborough,2007,7.655
TLH5,Norfolk,2007,7.884285714285715
TLH6,Suffolk,2007,7.804
TLI3,Inner London - West,2007,13.065
TLI4,Inner London - East,2007,8.4625
TLI5,Outer London - East and North East,2007,8.002857142857142
TLI6,Outer London - South,2007,9.395999999999999
TLI7,Outer London - West and North West,2007,10.010000000000002
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,8.330769230769231
TLJ2,"Surrey, East and West Sussex",2007,9.60625
TLJ3,Hampshire and Isle of Wight,2007,8.230714285714287
TLJ4,Kent,2007,8.368461538461538
TLK3,Cornwall and Isles of Scilly,2007,9.83
TLK4,Devon,2007,10.09
TLK5,West of England,2007,7.783333333333334
TLK6,"North Somerset, Somerset and Dorset",2007,8.857500000000002
TLK7,Gloucestershire and Wiltshire,2007,8.04875
TLL3,North Wales,2007,7.081666666666667
TLL4,Mid and South West Wales,2007,7.346666666666667
TLL5,South East Wales,2007,6.047999999999999
TLC3,Tees Valley,2008,5.180000000000001
TLC4,"Northumberland, Durham and Tyne & Wear",2008,5.840000000000002
TLD1,Cumbria,2008,6.12
TLD3,Greater Manchester,2008,5.785
TLD4,Lancashire,2008,5.752142857142857
TLD6,Cheshire,2008,6.386666666666667
TLD7,Merseyside,2008,5.496666666666666
TLE1,East Yorkshire and Northern Lincolnshire,2008,5.135
TLE2,North Yorkshire,2008,7.550000000000001
TLE3,South Yorkshire,2008,5.2975
TLE4,West Yorkshire,2008,5.634
TLF1,Derbyshire and Nottinghamshire,2008,5.837058823529411
TLF2,"Leicestershire, Rutland and Northamptonshire",2008,6.8927272727272735
TLF3,Lincolnshire,2008,7.01
TLG1,"Herefordshire, Worcestershire and Warwickshire",2008,7.779166666666666
TLG2,Shropshire and Staffordshire,2008,6.466363636363638
TLG3,West Midlands,2008,5.648571428571429
TLH2,Bedfordshire and Hertfordshire,2008,8.30923076923077
TLH3,Essex,2008,8.371428571428572
TLH4,Cambridgeshire and Peterborough,2008,7.488333333333334
TLH5,Norfolk,2008,7.414285714285714
TLH6,Suffolk,2008,7.5299999999999985
TLI3,Inner London - West,2008,13.335
TLI4,Inner London - East,2008,8.605
TLI5,Outer London - East and North East,2008,8.049999999999999
TLI6,Outer London - South,2008,9.524000000000001
TLI7,Outer London - West and North West,2008,9.838571428571427
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,8.277692307692307
TLJ2,"Surrey, East and West Sussex",2008,9.57125
TLJ3,Hampshire and Isle of Wight,2008,8.260000000000002
TLJ4,Kent,2008,8.008461538461539
TLK3,Cornwall and Isles of Scilly,2008,9.46
TLK4,Devon,2008,9.654999999999998
TLK5,West of England,2008,7.836666666666666
TLK6,"North Somerset, Somerset and Dorset",2008,8.794999999999998
TLK7,Gloucestershire and Wiltshire,2008,7.9825
TLL3,North Wales,2008,6.734999999999999
TLL4,Mid and South West Wales,2008,7.1049999999999995
TLL5,South East Wales,2008,5.865
TLC3,Tees Valley,2009,4.916
TLC4,"Northumberland, Durham and Tyne & Wear",2009,5.317142857142858
TLD1,Cumbria,2009,5.845
TLD3,Greater Manchester,2009,5.151
TLD4,Lancashire,2009,5.36642857142857
TLD6,Cheshire,2009,5.996666666666667
TLD7,Merseyside,2009,5.1866666666666665
TLE1,East Yorkshire and Northern Lincolnshire,2009,4.6725
TLE2,North Yorkshire,2009,6.79
TLE3,South Yorkshire,2009,4.7725
TLE4,West Yorkshire,2009,5.106
TLF1,Derbyshire and Nottinghamshire,2009,5.35235294117647
TLF2,"Leicestershire, Rutland and Northamptonshire",2009,6.140000000000001
TLF3,Lincolnshire,2009,6.017142857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,7.039999999999999
TLG2,Shropshire and Staffordshire,2009,6.085454545454545
TLG3,West Midlands,2009,5.278571428571429
TLH2,Bedfordshire and Hertfordshire,2009,7.599230769230768
TLH3,Essex,2009,7.560714285714286
TLH4,Cambridgeshire and Peterborough,2009,6.533333333333334
TLH5,Norfolk,2009,6.67
TLH6,Suffolk,2009,6.67
TLI3,Inner London - West,2009,12.725
TLI4,Inner London - East,2009,7.758749999999999
TLI5,Outer London - East and North East,2009,7.0842857142857145
TLI6,Outer London - South,2009,8.63
TLI7,Outer London - West and North West,2009,8.97
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,7.3415384615384625
TLJ2,"Surrey, East and West Sussex",2009,8.63875
TLJ3,Hampshire and Isle of Wight,2009,7.254285714285714
TLJ4,Kent,2009,7.024615384615384
TLK3,Cornwall and Isles of Scilly,2009,16.64
TLK4,Devon,2009,8.709
TLK5,West of England,2009,6.793333333333334
TLK6,"North Somerset, Somerset and Dorset",2009,7.735
TLK7,Gloucestershire and Wiltshire,2009,7.16125
TLL3,North Wales,2009,5.861666666666667
TLL4,Mid and South West Wales,2009,6.468333333333334
TLL5,South East Wales,2009,5.2780000000000005
TLC3,Tees Valley,2010,5.174
TLC4,"Northumberland, Durham and Tyne & Wear",2010,5.5200000000000005
TLD1,Cumbria,2010,6.025
TLD3,Greater Manchester,2010,5.372
TLD4,Lancashire,2010,5.6464285714285705
TLD6,Cheshire,2010,6.516666666666667
TLD7,Merseyside,2010,5.2250000000000005
TLE1,East Yorkshire and Northern Lincolnshire,2010,4.935
TLE2,North Yorkshire,2010,7.335
TLE3,South Yorkshire,2010,4.9399999999999995
TLE4,West Yorkshire,2010,5.438
TLF1,Derbyshire and Nottinghamshire,2010,5.735294117647058
TLF2,"Leicestershire, Rutland and Northamptonshire",2010,6.6445454545454545
TLF3,Lincolnshire,2010,6.202857142857143
TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,7.5775
TLG2,Shropshire and Staffordshire,2010,6.324545454545454
TLG3,West Midlands,2010,5.541428571428571
TLH2,Bedfordshire and Hertfordshire,2010,8.223846153846154
TLH3,Essex,2010,8.232142857142858
TLH4,Cambridgeshire and Peterborough,2010,7.086666666666667
TLH5,Norfolk,2010,7.0600000000000005
TLH6,Suffolk,2010,7.324
TLI3,Inner London - West,2010,14.196666666666665
TLI4,Inner London - East,2010,8.38625
TLI5,Outer London - East and North East,2010,7.6571428571428575
TLI6,Outer London - South,2010,9.312000000000001
TLI7,Outer London - West and North West,2010,9.905714285714286
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,7.941538461538461
