itl2_code,itl2_name,year,gva_real_gbp_m,population,gva_per_capita_gbp
TLK6,"North Somerset, Somerset and Dorset",2019,39945,1558408.0,25631.926940826794
TLK7,Gloucestershire and Wiltshire,2019,45766,1373595.0,33318.40899246139
TLL3,North Wales,2019,16894,685315.0,24651.437660054136
TLL4,Mid and South West Wales,2019,19954,889844.0,22424.155245189046
TLL5,South East Wales,2019,38566,1512573.0,25496.95122152782
TLM0,Eastern Scotland,2019,23181,927940.0,24981.14102204884
TLM1,East Central Scotland,2019,42819,1049480.0,40800.20581621375
TLM2,Highlands and Islands,2019,14066,621730.0,22623.968603734742
TLM3,West Central Scotland,2019,44871,1508090.0,29753.529298649286
TLM5,North Eastern Scotland,2019,18792,484660.0,38773.573226591834
TLM9,Southern Scotland,2019,21707,953870.0,22756.76979043266
TLN0,Northern Ireland,2019,49047,1898519.0,25834.347720512673
TLC3,Tees Valley,2020,13744,674447.0,20378.176491258764
TLC4,"Northumberland, Durham and Tyne & Wear",2020,40223,1962979.0,20490.79485822314
TLD1,Cumbria,2020,11869,498439.0,23812.34213213653
TLD3,Greater Manchester,2020,77516,2856110.0,27140.41125867001
TLD4,Lancashire,2020,34509,1520252.0,22699.526131194038
TLD6,Cheshire,2020,34407,959568.0,35856.76054224401
TLD7,Merseyside,2020,34013,1546236.0,21997.288900271367
TLE1,East Yorkshire and Northern Lincolnshire,2020,21191,935988.0,22640.24752454091
TLE2,North Yorkshire,2020,21722,813068.0,26716.092626938953
TLE3,South Yorkshire,2020,28253,1373015.0,20577.34256362822
TLE4,West Yorkshire,2020,57219,2346416.0,24385.701427197906
TLF1,Derbyshire and Nottinghamshire,2020,52515,2197772.0,23894.653312536513
TLF2,"Leicestershire, Rutland and Northamptonshire",2020,46725,1894087.0,24668.87740637046
TLF3,Lincolnshire,2020,16160,763610.0,21162.63537669753
TLG1,"Herefordshire, Worcestershire and Warwickshire",2020,38043,1374958.0,27668.48150998067
TLG2,Shropshire and Staffordshire,2020,36063,1635490.0,22050.272395428892
TLG3,West Midlands,2020,67233,2921476.0,23013.367215749848
TLH2,Bedfordshire and Hertfordshire,2020,55423,1893635.0,29268.04796066824
TLH3,Essex,2020,42544,1852594.0,22964.55672424719
TLH4,Cambridgeshire and Peterborough,2020,28099,884999.0,31750.318361941652
TLH5,Norfolk,2020,20170,909883.0,22167.685295801766
TLH6,Suffolk,2020,19127,756668.0,25277.929025675727
